text,label
did it,SUCCESS
i have done it,SUCCESS
did that,SUCCESS
its done*,SUCCESS
its down,SUCCESS
egg is on,SUCCESS
It's already there,SUCCESS
I have placed the green glass on the yellow placemat.,SUCCESS
I put the blue glass on the red mat.,SUCCESS
white glass is now on the black placemat.,SUCCESS
Just finished with placing red apple on white placemat.,SUCCESS
done with the step,SUCCESS
did it,SUCCESS
i have done it,SUCCESS
did that,SUCCESS
its done*,SUCCESS
its down,SUCCESS
egg is on,SUCCESS
It's already there,SUCCESS
I have placed the green glass on the yellow placemat.,SUCCESS
I put the blue glass on the red mat.,SUCCESS
white glass is now on the black placemat.,SUCCESS
Placed the gray vase on the white placemat.,SUCCESS
done. What else?,SUCCESS
There you go,SUCCESS
The blue vase is now on the green placemat,SUCCESS
I've finished placing the pink pan on the white placemat,SUCCESS
The black plate is now on the orange placemat,SUCCESS
Done! The purple cup is on the blue placemat.,SUCCESS
I've just placed the green apple on the brown placemat,SUCCESS
I've finished placing the yellow spoon on the gray placemat,SUCCESS
The brown bread is on the beige placemat,SUCCESS
All done! The silver fork is on the red placemat,SUCCESS
There you go,SUCCESS
Done! The plate is now on the placemat.,SUCCESS
I've just put the pan on the placemat.,SUCCESS
The spoon is now on the placemat,SUCCESS
I've finished placing the vase on the placemat,SUCCESS
The candle is now on the placemat,SUCCESS
Completed the task.,SUCCESS
The task is done.,SUCCESS
All done!,SUCCESS
Task Completed!,SUCCESS
done with the step,SUCCESS
Job complete boss,SUCCESS
we are good to go boss.,SUCCESS
 all done.,SUCCESS
 it looks great.,SUCCESS
 it's ready to be served.,SUCCESS
SUCCESS,SUCCESS
 looks good to me.,SUCCESS
 it matches nicely.,SUCCESS
 we're all set for lunch.,SUCCESS
 looks elegant.,SUCCESS
 I've placed the glass on the placemat.,SUCCESS
SUCCESS,SUCCESS
SUCCESS,SUCCESS
 all set for dessert.,SUCCESS
 it looks lovely.,SUCCESS
 ready to be lit.,SUCCESS
which bread should i spwan?,BLIP
Where is the red placemat,BLIP
Which apple are we talking about?,BLIP
I am not sure what you mean by plate,BLIP
Vase? what is a vase?,BLIP
I don't know this object,BLIP
Does your pan has a handle?,BLIP
Wait! I don't what you are referring to.,BLIP
Which mat?,BLIP
Which placemat?,BLIP
Which placemat does it go on?,BLIP
Which apple should i use?,BLIP
Which mat should i use,BLIP
what mat was it it?,BLIP
what about the mat?,BLIP
what apple was i using?,BLIP
"I have 2 round, yellow placemat",BLIP
"i have two square,  blue, mats",BLIP
I have 2 green mats as well,BLIP
one dark and one light,BLIP
i have 2 of those.,BLIP
How many apples should I get?,BLIP
"I have 3 apples on the table, one gold, one red, and one green",BLIP
I have three white plates and two blue vases.,BLIP
"There are four,  red pans and five,  green apples.",BLIP
"I own six,  black pans and three,  yellow vases.",BLIP
"I have two,  white plates and four,  brown bread loaves.",BLIP
"There are seven,  green apples and one,  blue vase in my kitchen.",BLIP
"I own three,  red pans and six,  brown bread rolls.",BLIP
"I have one,  yellow vase and eight,  green apples.",BLIP
"There are two,  blue vases and three,  black pans.",BLIP
"I own four,  white plates and five,  brown bread loaves.",BLIP
"There are six,  green apples and one,  red pan on the table.",BLIP
I have one white mat and two green mats.,BLIP
There are two red mats and one black mat in my possession.,BLIP
I own two black mats and one yellow mat.,BLIP
I have one white mat and one yellow mat.,BLIP
is the brown loaf sliced?,BLIP
The one without the sliced apple?,BLIP
both looks unsliced,BLIP
"Actually, my apple is whole",BLIP
Should the apple be sliced?,BLIP
Are you sure apple is sliced?,BLIP
should the bread be whole?,BLIP
Is bread whole?,BLIP
Should I slice the bread,BLIP
Has the bread been cut into slices?,BLIP
is the brown loaf sliced?,BLIP
Do you want me to slice the apple,BLIP
The one without the sliced apple?,BLIP
Do you mean the unsliced apple?,BLIP
I have two breads. A sliced one and an unsliced one.,BLIP
both looks unsliced,BLIP
"Actually, my apple is whole",BLIP
My bread is not sliced,BLIP
I have a sliced brown bread,BLIP
Should I cut the bread after I get one?,BLIP
There are two apples. One is whole the other one is sliced.,BLIP
"How many, ""role"": ""obj"" apples should I cut.",BLIP
I can see an unsliced brown bread,BLIP
Nope. There is only a whole apple.,BLIP
Should I get a whole bread or a sliced bread,BLIP
Should I discard the sliced apple?,BLIP
Can you please confirm apple is sliced?,BLIP
Can you please confirm if I should slice the bread?,BLIP
Seems like the apple is unsliced,BLIP
I'm not sure but the bread looks like it's been cut,BLIP
Where on the table is the mat located?,BLIP
Could you point out the position of the mat on the table?,BLIP
Is the mat placed in the center of the table?,BLIP
What is the specific spot where the mat is situated on the table?,BLIP
Can you tell me the exact location of the mat on the table?,BLIP
Is the mat placed near any particular objects on the table?,BLIP
What is the orientation of the mat?,BLIP
How far is the mat from the edge of the table?,BLIP
Is the mat positioned closer to one end of the table than the other?,BLIP
Can you give me an idea of where the mat is located on the table relative to other items?,BLIP
The placemat on the top right corner?,BLIP
"Just to confirm, I'm placing the pan on the top right mat",BLIP
"The bottom right mat, right?",BLIP
Are we talking about the mat on the bottom left corner?,BLIP
"Where should I put the vase, the mat on the top left or bottom right?",BLIP
Where is this mat you're talking about?,BLIP
